id,region,state,locality,site_name,latitude,longitude,protection,popularity,length_sca,n_marinas_,size,marina_id,ocean_acce,land_acces,accessibil,Codigo_SIG,ANP,Region_1,Estado,Municipio,Zonificaci,Subzonific,nombre_1,Cate_DECRE,Cate_Mane,Area_km2,Categoria,Region_12,Estado_1,Municipi_1,Zonifica_1,Subzonif_1,ID_2,nombre_12,Cate_DEC_1,Cate_Man_1,Categori_1,Autoconsum,Comercial,Deportiva,Riberena,Pesca,Buceo,id_3
"355",Northwest Mexico,BAJA_CALIFORNIA,TIJUANA,KEYHOLE,32.429872889999999,-117.295503600000004,Into MPA,"3","1.919960924","0","2","36","1.919960924","7.5","14.39970693",,Islas del Pacifico de la Peninsula de Baja California,,,,,,,,,0.00000000000,Zona de Amortiguamento,,,,,,0.00000000000,,,,,,,,,,,1
"393",Northwest Mexico,BAJA_CALIFORNIA,TIJUANA,LOBSTER_SHACK,32.438219949999997,-117.293853999999996,Into MPA,"3","1.908589249","0","2","36","1.908589249","7.5","14.31441937",,Islas del Pacifico de la Peninsula de Baja California,,,,,,,,,0.00000000000,Zona de Amortiguamento,,,,,,0.00000000000,,,,,,,,,,,1
"401",Northwest Mexico,BAJA_CALIFORNIA,TIJUANA,LOS_CORONADOS,32.433227000000002,-117.293428000000006,Into MPA,"1","1.914246857","0.172413793","2","36","2.08666065","7.5","15.64995487",,Islas del Pacifico de la Peninsula de Baja California,,,,,,,,,0.00000000000,Zona de Amortiguamento,,,,,,0.00000000000,,,,,,,,,,,1
"486",Northwest Mexico,BAJA_CALIFORNIA,ENSENADA,NORT_CORONADO_ISLAND_PASSAGE,32.442083330000003,-117.296666700000003,Into MPA,"1","1.892840206","0","2","36","1.892840206","7.5","14.19630154",,Islas del Pacifico de la Peninsula de Baja California,,,,,,,,,0.00000000000,Zona de Amortiguamento,,,,,,0.00000000000,,,,,,,,,,,1
"566",Northwest Mexico,BAJA_CALIFORNIA,TIJUANA,PUKEY_PONT,32.447631240000000,-117.298326799999998,Into MPA,"3","1.887390985","0","2","36","1.887390985","7.5","14.15543239",,Islas del Pacifico de la Peninsula de Baja California,,,,,,,,,0.00000000000,Zona de Amortiguamento,,,,,,0.00000000000,,,,,,,,,,,1
"845",Northwest Mexico,BAJA_CALIFORNIA,ENSENADA,WESTGATE,31.507351000000000,-117.484802000000002,Not protected,"1","1.207954168","0","1","75","1.207954168","3.75","4.52982813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"116",Northwest Mexico,BAJA_CALIFORNIA,ENSENADA,CAMPO_LUNA,28.982955000000000,-118.223033000000001,Into MPA,"2","0.510648347","0","1","95","0.510648347","1.25","0.638310434",1.1.05.157,Isla Guadalupe,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Aguas Circundantes de la Isla Guadalupe,RB,RB,4575.98216085000,Zona de Amortiguamiento,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la Península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,21.02000000000,Aguas Circundantes de la Isla Guadalupe,RB,RB,Zona de Amortiguamiento,SI,SI,SI,ND,SI,NO,2
"253",Northwest Mexico,BAJA_CALIFORNIA,ENSENADA,FONDEADERO_ESTE,29.187128000000001,-118.257272000000000,Into MPA,"2","0.524803605","0","1","95","0.524803605","1.25","0.656004506",1.1.05.157,Isla Guadalupe,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Aguas Circundantes de la Isla Guadalupe,RB,RB,4575.98216085000,Zona de Amortiguamiento,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la Península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,21.02000000000,Aguas Circundantes de la Isla Guadalupe,RB,RB,Zona de Amortiguamiento,SI,SI,SI,ND,SI,NO,2
"304",Northwest Mexico,BAJA_CALIFORNIA,ENSENADA,ISLA_GUADALUPE,29.200925999999999,-118.240363000000002,Into MPA,"17","0.529934274","0","1","95","0.529934274","1.25","0.662417843",1.1.05.157,Isla Guadalupe,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Aguas Circundantes de la Isla Guadalupe,RB,RB,4575.98216085000,Zona de Amortiguamiento,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la Península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,21.02000000000,Aguas Circundantes de la Isla Guadalupe,RB,RB,Zona de Amortiguamiento,SI,SI,SI,ND,SI,NO,2
"683",Northwest Mexico,BAJA_CALIFORNIA,ENSENADA,PUNTA_PROA,28.922514000000000,-118.224804000000006,Into MPA,"2","0.504552652","0","1","95","0.504552652","1.25","0.630690815",1.1.05.157,Isla Guadalupe,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Aguas Circundantes de la Isla Guadalupe,RB,RB,4575.98216085000,Zona de Amortiguamiento,Península de Baja California y Pacífico Norte,Baja California,Frente a la costa de la Península de Baja California,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,21.02000000000,Aguas Circundantes de la Isla Guadalupe,RB,RB,Zona de Amortiguamiento,SI,SI,SI,ND,SI,NO,2
